Word,Fraction of words eliminated,N
layer,0.957894161035761,181
adios,0.957888062594178,203
nerfs,0.957881255525396,201
roves,0.957873398881432,197
steam,0.957862243412087,201
pause,0.957855301888653,185
zeals,0.957849964563019,187
snort,0.957849066988308,178
siree,0.95782779431512,219
shied,0.95775865347357,169
lends,0.957758004902659,187
vanes,0.957754283662141,163
terms,0.957745044275715,191
lases,0.957733479553769,201
louis,0.957694469137316,170
ileus,0.957688102244968,173
stage,0.957672784822341,180
nurse,0.957660239708181,168
yarns,0.957658214689754,193
stern,0.957652445406484,195
satin,0.957617779321792,180
rears,0.957605409663773,198
tamer,0.957597865049663,165
toile,0.957591851211595,167
dolts,0.957571856256833,170
moats,0.957553123733427,180
hater,0.957521621921335,177
steno,0.957521501137968,195
waste,0.957514349897439,178
texas,0.957512056143216,194
limes,0.957497455126283,179
atoms,0.957487242323096,185
agues,0.957476241384312,194
icers,0.957462937369252,184
style,0.957455798802826,178
faces,0.957443112732325,184
weans,0.957409384270057,206
sorer,0.95739946464282,195
laker,0.957394592737721,179
rated,0.957366131349978,176
darks,0.957356261941984,196
pelts,0.957352268802198,174
games,0.957342016574255,189
paves,0.957220530304817,199
sizer,0.957218528870431,198
beams,0.957211202643222,188
narcs,0.957187897560706,179
resaw,0.95716676930851,176
shame,0.957122768611164,199
melts,0.957088032153026,181
dealt,0.957075806264837,192
poset,0.957037480063796,176
staid,0.957017882239352,154
cents,0.956997530416657,184
hopes,0.956991664969329,197
sutra,0.956990800695494,202
doest,0.956985511793965,186
snail,0.95692385587943,188
talon,0.956879823320678,210
glues,0.956877445804652,191
strew,0.956850720058315,173
aside,0.956846346565558,163
poise,0.956815332563004,184
taker,0.95677476426625,151
loves,0.956755469361369,194
pards,0.956750280291188,176
beads,0.956717040125065,200
steak,0.956710110250486,191
parts,0.956701185236105,188
morns,0.95663641275332,163
ashen,0.956629079289119,169
mated,0.956619878113232,188
gorse,0.95659432230563,185
coeds,0.9565815134145,176
mopes,0.95656331422616,200
loams,0.956559840194546,200
dopes,0.956558379955983,182
tarps,0.956534230947988,185
cokes,0.956523617797759,201
gelds,0.956466973788111,163
yipes,0.956451939279657,194
kites,0.956450393642716,179
tenor,0.956441827704402,191
aspen,0.956413062358868,200
roust,0.956408294804844,188
paren,0.956407811833816,176
trans,0.956397265518781,191
zetas,0.956321366208643,190
feast,0.956260501970569,193
axles,0.956257234183822,214
degas,0.956222349668075,179
haler,0.95622114231007,172
prate,0.95620437231693,175
antis,0.956184556369283,167
deist,0.956172563142155,213
horse,0.956167646839872,210
lager,0.956125462170277,210
dices,0.956110784650694,188
satyr,0.956069814599953,181
naves,0.956069724959772,182
loxes,0.95606366347721,188
trays,0.955989033520824,194
legos,0.955964839905043,192
crane,0.955963030513577,192
coast,0.955945685312633,174
bails,0.955919077758081,199
spiel,0.955909063446392,184
spelt,0.955894536822104,165
caves,0.955864471896107,170
talcs,0.955858990504314,192
veals,0.955852272026167,183
aches,0.955846023198812,180
vires,0.955812195728819,185
moans,0.955774144967401,194
morel,0.955743054708607,188
noted,0.955739100225812,200
alone,0.955725708394269,186
trade,0.955722069484626,174
inset,0.955716118170522,208
slain,0.955706096925482,191
mater,0.9556772966634,193
crone,0.955661684589511,176
avers,0.955658877078304,206
lords,0.955646199828695,203
anile,0.955638690341933,201
toyer,0.955604240501207,191
coals,0.955581796711781,218
manse,0.955579934724773,190
sleet,0.955565134909743,191
heart,0.955537767558633,194
heaps,0.955504074434904,184
scent,0.955484308466529,177
stray,0.955476010538502,191
scone,0.955456400903248,208
asker,0.955441768433136,161
carps,0.955424823807521,197
stark,0.95542334935248,180
loses,0.955413684716792,199
haves,0.955408040804081,176
tends,0.95538350827564,182
raths,0.955339605678323,182
dikes,0.955328152826851,182
roses,0.955316012804288,175
lapis,0.955308553101647,194
damns,0.955302691615149,183
types,0.955283313832874,212
cased,0.955277297371233,207
yokes,0.955269703791742,203
smelt,0.955247227509129,187
